marital_status,application_mode,application_order,course,daytime_attendance,previous_qualification,previous_qualification_grade,mothers_qualification,fathers_qualification,mothers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,male,scholarship_holder,age,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,inflation_rate
1,1,-0.5548002603816558,9500,1,1,0.03141557907549898,1,19,4,-0.34085425877316033,0,0,0,1,0,0,0.09846780704409681,0.7256329884559484,-0.06664072280302494,0.7711780890797933,0.34877681605295946,-0.1455296783343079,-0.27785718048264324,0.8216023506687935,-0.011026805606140477,0.8565107687882377,0.4146082243284039,-0.195430329440261,0.1228968751438458
1,1,-0.5548002603816558,9254,1,1,0.03141557907549898,1,38,9,-0.47165953610492145,1,0,0,1,1,1,-0.43063925842814793,-0.10779869597534744,-0.30556932111216445,0.4358624505953882,0.5998089268206431,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,-0.011026805606140477,0.5230485015364843,0.5610378074311598,-0.195430329440261,0.1228968751438458
1,1,-0.5548002603816558,9670,1,1,0.03141557907549898,38,37,7,-1.4974482899171495,0,0,0,1,1,0,0.7598516388844028,-0.10779869597534744,-0.30556932111216445,-1.2407157418266377,0.6926691404215126,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,-0.5230117465674897,-1.4777251019740363,-1.996623577781228,-0.195430329440261,-0.6848010294344052
1,1,0.961473361812632,9500,1,1,-1.5190354931284917,19,37,9,-0.5198509540692535,1,0,0,1,0,0,-0.43063925842814793,0.3089171462403005,-0.30556932111216445,0.7711780890797933,0.6440722953037249,-0.1455296783343079,-0.27785718048264324,0.8216023506687935,-0.011026805606140477,1.1899730360399912,1.0337195317868666,-0.195430329440261,-0.5379468649656323
1,1,-0.5548002603816558,9500,1,1,1.2299912306374505,38,1,9,0.7193569364421637,0,0,0,1,0,0,-0.5629160247962092,0.3089171462403005,-0.30556932111216445,0.7711780890797933,0.5936182459139189,-0.1455296783343079,-0.27785718048264324,0.8216023506687935,0.24496566487453414,1.1899730360399912,0.7660823910557812,-0.195430329440261,-0.6848010294344052
1,17,0.20333655071548815,9254,1,1,0.03141557907549898,12,19,5,-1.6626760086520056,1,0,0,1,0,0,-0.43063925842814793,-0.10779869597534744,1.844788063670091,-1.2407157418266377,-0.17402618651993598,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,1.012943076316558,-1.4777251019740363,-1.996623577781228,-0.195430329440261,0.1228968751438458
1,1,-0.5548002603816558,9147,1,1,-0.9692301483753034,38,38,9,-0.7814615087327758,0,0,0,1,1,1,-0.43063925842814793,-0.5245145381909954,-0.06664072280302494,0.10054681211098299,0.34057416385154915,-0.1455296783343079,-0.27785718048264324,-0.5624841430544206,-0.2670192760868151,0.18958623428473087,0.26965866228038143,-0.195430329440261,-1.125363522840724
1,1,0.961473361812632,9254,1,1,-1.1891522862765787,19,38,3,-0.8709598563808223,1,0,0,1,0,1,-0.43063925842814793,-0.10779869597534744,-0.06664072280302494,0.10054681211098299,0.43266054233907825,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,0.24496566487453414,0.18958623428473087,0.4898117941720809,-0.195430329440261,-0.5379468649656323
1,1,-0.5548002603816558,9070,1,1,0.03141557907549898,3,1,3,-0.3546232353343985,0,0,0,1,0,1,-0.5629160247962092,1.975780515102892,0.6501450721243935,2.112440643017414,0.5153905508198526,-0.1455296783343079,2.4086496588824438,2.2056888443920077,0.7569506058358834,2.1903598377952513,0.5110030047285009,-0.195430329440261,-0.46451978273124583
1,17,2.4777469840069197,9500,1,1,-1.6289965620791296,38,38,9,-1.0017651337125824,1,0,0,1,0,0,-0.5629160247962092,-0.10779869597534744,3.278359653524928,0.4358624505953882,0.3212282860180348,-0.1455296783343079,-0.27785718048264324,1.744326679817603,1.2689355467972325,0.5230485015364843,0.6986335148634719,-0.195430329440261,1.1508760264252562
