marital_status,application_mode,application_order,course,daytime_attendance,previous_qualification,previous_qualification_grade,mothers_qualification,fathers_qualification,mothers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,male,scholarship_holder,age,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,inflation_rate,target
1,1,1.719610172909776,171,1,1,0.03141557907549898,1,19,4,0.7606638661258772,1,0,1,0,1,0,-0.5629160247962092,-2.608093749269235,-1.978069509276141,-1.5760313803110428,-2.3407645038735576,-0.1455296783343079,-0.27785718048264324,-2.869294965926444,-2.0589665694515373,-1.4777251019740363,-1.996623577781228,-0.195430329440261,1.1508760264252562,0
1,1,-0.5548002603816558,9500,1,1,0.03141557907549898,37,37,9,0.7606638661258772,1,0,0,1,0,0,-0.6951927911642704,0.3089171462403005,-0.30556932111216445,0.4358624505953882,0.9526777385039471,-0.1455296783343079,-0.27785718048264324,0.3602401860943888,-0.2670192760868151,0.5230485015364843,0.956018426413326,-0.195430329440261,1.0040218619564836,2
1,1,2.4777469840069197,9500,1,1,0.03141557907549898,9,1,2,0.41643945209492794,1,0,0,1,0,0,-0.5629160247962092,-0.10779869597534744,-1.978069509276141,-1.5760313803110428,0.3212282860180348,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,-2.0589665694515373,-1.4777251019740363,-1.996623577781228,-0.195430329440261,1.0040218619564836,0
2,1,-0.5548002603816558,9991,0,1,0.7901469548348997,37,37,9,-0.47854402438554006,0,0,0,0,0,0,1.9503425361969535,-0.5245145381909954,-0.544497919421304,0.10054681211098299,-0.04402188747871877,-0.1455296783343079,-0.27785718048264324,-0.5624841430544206,0.24496566487453414,-0.8108005674705294,0.14015681999114674,-0.195430329440261,1.8117197665347344,0
1,16,1.719610172909776,9254,1,1,0.03141557907549898,38,37,9,-0.5680423720335867,1,0,0,1,0,1,-0.29836249206008675,-0.10779869597534744,-0.30556932111216445,0.4358624505953882,0.5998089268206431,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,-0.5230117465674897,0.5230485015364843,0.4315359651419251,-0.195430329440261,0.1228968751438458,2
1,1,-0.5548002603816558,9003,1,1,0.03141557907549898,1,37,9,0.20990480367635841,0,0,0,1,1,0,0.7598516388844028,-1.3579462226222911,-1.022355116039583,-1.5760313803110428,-2.3407645038735576,-0.1455296783343079,-0.27785718048264324,-1.0238463076288253,-0.011026805606140477,-1.4777251019740363,-1.996623577781228,-0.195430329440261,-0.6848010294344052,0
1,1,-0.5548002603816558,171,1,19,0.03141557907549898,1,19,2,-1.1669928524474384,0,0,0,1,1,1,0.230744573412158,-2.608093749269235,-1.978069509276141,-1.5760313803110428,-2.3407645038735576,-0.1455296783343079,-0.27785718048264324,-2.869294965926444,-2.0589665694515373,-1.4777251019740363,-1.996623577781228,-0.195430329440261,1.1508760264252562,0
1,1,-0.5548002603816558,8014,0,1,0.03141557907549898,37,37,9,0.4852843349011178,0,0,0,1,0,1,1.5535122370927699,0.7256329884559484,-0.06664072280302494,1.1064937275641986,0.6114164535207519,-0.1455296783343079,0.25944418739037417,0.3602401860943888,-0.2670192760868151,0.8565107687882377,0.7229151102927035,-0.195430329440261,0.1228968751438458,2
1,1,0.20333655071548815,9500,1,1,-0.30946373467147725,38,37,4,-0.010398821303449286,1,0,0,1,1,1,0.6275748725163416,6.976370621690667,3.5172882518340676,5.1302813893770605,0.5843322245538316,6.336968996868114,9.39356744123167,7.742034819284863,3.8288602516039787,5.191520243061032,0.6257887285757774,3.883368897254988,1.0040218619564836,2
4,1,-0.5548002603816558,9238,1,19,0.03141557907549898,37,37,9,-1.6144845906876726,0,0,0,0,0,0,2.744003134405321,-0.10779869597534744,-1.978069509276141,-1.5760313803110428,-2.3407645038735576,-0.1455296783343079,-0.27785718048264324,-0.10112197848001594,-2.0589665694515373,-1.4777251019740363,-1.996623577781228,-0.195430329440261,-1.125363522840724,0
